"state_abbrev","state_name","scenario_key","sustainability_index","sustainability_tier","sustainability_rank","sustainability_percentile","sustainability_band","demand_pressure_norm","demand_per_100k","supply_per_100k","margin_per_hour","revenue_per_hour","labor_cost_per_hour","wage_revenue_ratio","units_per_hour","scenario_notes","pt_comp_share_pct","non_pt_margin_share_pct"
"ID","Idaho","baseline","0.3545649809124029423536","Sustainable","40","0.22","Bottom Quartile","0.82700421940928269688","99.46729175431375900000","120.27422523353245400000","46.5974938183781195619125","102.605709095717679100","56.0082152773395595380875","0.5458586639179232718058","4.25","Typical OP PT clinic throughput baseline","54.5858663917923271805800","45.4141336082076728194200"
"IL","Illinois","conservative","0.3081907717579867656671","Sustainable","24","0.54","Upper-Mid Quartile","0.96178803172314347543","105.59320226742008800000","109.78843444146301500000","42.0750305232175415436750","100.735272019114795875","58.6602414958972543313250","0.5823207732517594395024","3.75","Lower throughput: higher complexity/documentation, longer transitions","58.2320773251759439502400","41.7679226748240560497600"
"IL","Illinois","baseline","0.4260279481805025587243","Sustainable","24","0.54","Upper-Mid Quartile","0.96178803172314347543","105.59320226742008800000","109.78843444146301500000","55.5064001257661809936750","114.166641621663435325","58.6602414958972543313250","0.5138124469868465642669","4.25","Typical OP PT clinic throughput baseline","51.3812446986846564266900","48.6187553013153435733100"
"IL","Illinois","high","0.5366537218382906807042","Sustainable","24","0.54","Upper-Mid Quartile","0.96178803172314347543","105.59320226742008800000","109.78843444146301500000","68.9377697283148204436750","127.598011224212074775","58.6602414958972543313250","0.4597269262513890311861","4.75","High throughput: efficient ops, shorter transitions","45.9726926251389031186100","54.0273073748610968813900"
"IN","Indiana","high","0.4797370984928263874561","Sustainable","37","0.28","Lower-Mid Quartile","1.14501510574018127912","110.15243614900689200000","96.20173183462079400000","61.8084466508377593592625","119.976574233465146725","58.1681275826273873657375","0.4848290422881778893885","4.75","High throughput: efficient ops, shorter transitions","48.4829042288177889388500","51.5170957711822110611500"
"IN","Indiana","baseline","0.3726271482543637522360","Sustainable","37","0.28","Lower-Mid Quartile","1.14501510574018127912","110.15243614900689200000","96.20173183462079400000","49.1793335736309018092625","107.347461156258289175","58.1681275826273873657375","0.5418677531456105822578","4.25","Typical OP PT clinic throughput baseline","54.1867753145610582257800","45.8132246854389417742200"
"IN","Indiana","conservative","0.2579120365682434246333","At Risk","37","0.28","Lower-Mid Quartile","1.14501510574018127912","110.15243614900689200000","96.20173183462079400000","36.5502204964240442592625","94.718348079051431625","58.1681275826273873657375","0.6141167868983586598921","3.75","Lower throughput: higher complexity/documentation, longer transitions","61.4116786898358659892100","38.5883213101641340107900"
"KS","Kansas","conservative","0.2594250197255864081006","At Risk","36","0.3","Lower-Mid Quartile","0.92492492492492492942","104.41566384122852500000","112.89096123093863200000","36.6234027143389279142125","94.390612665644777625","57.7672099513058497107875","0.6120016421117192538300","3.75","Lower throughput: higher complexity/documentation, longer transitions","61.2001642111719253830000","38.7998357888280746170000"
"KS","Kansas","baseline","0.3737437794336710355878","Sustainable","36","0.3","Lower-Mid Quartile","0.92492492492492492942","104.41566384122852500000","112.89096123093863200000","49.2088177364248982642125","106.976027687730747975","57.7672099513058497107875","0.5400014489221052239676","4.25","Typical OP PT clinic throughput baseline","54.0001448922105223967600","45.9998551077894776032400"
"KS","Kansas","high","0.4804835714375857651946","Sustainable","36","0.3","Lower-Mid Quartile","0.92492492492492492942","104.41566384122852500000","112.89096123093863200000","61.7942327585108686142125","119.561442709816718325","57.7672099513058497107875","0.4831591911408309898658","4.75","High throughput: efficient ops, shorter transitions","48.3159191140830989865800","51.6840808859169010134200"
"KY","Kentucky","conservative","0.2843085358091611386384","Sustainable","32","0.38","Lower-Mid Quartile","1.35294117647058823070","121.31993451360926100000","89.67125594484162800000","38.3043495089489983698875","91.891235894190188625","53.5868863852411902551125","0.5831555736930643909269","3.75","Lower throughput: higher complexity/documentation, longer transitions","58.3155573693064390926900","41.6844426306935609073100"
"KY","Kentucky","baseline","0.3948566616616199102796","Sustainable","33","0.36","Lower-Mid Quartile","1.35294117647058823070","121.31993451360926100000","89.67125594484162800000","50.5565142948410235198875","104.143400680082213775","53.5868863852411902551125","0.5145490356115274037590","4.25","Typical OP PT clinic throughput baseline","51.4549035611527403759000","48.5450964388472596241000"
"KY","Kentucky","high","0.4981830466633905780083","Sustainable","33","0.36","Lower-Mid Quartile","1.35294117647058823070","121.31993451360926100000","89.67125594484162800000","62.8086790807330486698875","116.395565465974238925","53.5868863852411902551125","0.4603859792313666244159","4.75","High throughput: efficient ops, shorter transitions","46.0385979231366624415900","53.9614020768633375584100"
